,TP:hapmatch__FN__missing::QUERY,TP:hapmatch__FN__missing::TRUTH,TP:hapmatch__FP__almismatch::QUERY,TP:hapmatch__FP__almismatch::TRUTH,TP:hapmatch__FP__missing::QUERY,TP:hapmatch__FP__missing::TRUTH,TP:match::QUERY,TP:match::TRUTH,all:QUERY,all:TRUTH
al__d,,3.0,1.0,1.0,2.0,,4.0,4.0,7,8
al__i,,2.0,2.0,2.0,1.0,,1.0,1.0,4,5
al__s,,,,,2.0,,3.0,3.0,5,3
het__rd,,3.0,1.0,1.0,2.0,,1.0,1.0,4,5
het__ri,,1.0,1.0,1.0,1.0,,1.0,1.0,3,3
het__rs,,,,,1.0,,1.0,1.0,2,1
homalt__d,,,,,,,3.0,3.0,3,3
homalt__i,,1.0,1.0,1.0,,,,,1,2
homalt__s,,,,,1.0,,2.0,2.0,3,2
nocall__nc,5.0,,,,,5.0,,,5,5
nuc__d,,26.0,15.0,1.0,12.0,,7.0,7.0,34,34
nuc__i,,3.0,4.0,3.0,2.0,,4.0,4.0,10,10
nuc__s,,,,,2.0,,3.0,3.0,5,3
