,FN:HapMatch:missing::QUERY,FN:HapMatch:missing::TRUTH,FP:HapMatch:almismatch::QUERY,FP:HapMatch:almismatch::TRUTH,FP:HapMatch:alpartial::QUERY,FP:HapMatch:alpartial::TRUTH,FP:HapMatch:gtmismatch::QUERY,FP:HapMatch:gtmismatch::TRUTH,FP:HapMatch:missing::QUERY,FP:HapMatch:missing::TRUTH,TP::match::QUERY,TP::match::TRUTH,TP:HapMatch:match::QUERY,TP:HapMatch:match::TRUTH,all:QUERY,all:TRUTH
alleles,,1580.0,194.0,194.0,72.0,39.0,33.0,33.0,1774.0,,11083.0,11083.0,693.0,693.0,13849.0,13622.0
blocksubst_ins_del__hetalt,,,,,5.0,1.0,,,,,4.0,4.0,,,9.0,5.0
blocksubst_snp_del__het,,,,1.0,,,,,,,,,,,,1.0
blocksubst_snp_del__hetalt,,,,,2.0,,,,,,,,,,2.0,
del,,2232.0,159.0,158.0,93.0,70.0,50.0,50.0,2014.0,,6589.0,6589.0,460.0,460.0,9365.0,9559.0
del__het,,396.0,25.0,18.0,1.0,14.0,15.0,,333.0,,1426.0,1426.0,70.0,70.0,1870.0,1924.0
del__hetalt,,,,,7.0,,,,6.0,,,,,,13.0,
del__homalt,,295.0,13.0,9.0,,,,15.0,247.0,,858.0,858.0,26.0,26.0,1144.0,1203.0
het,,957.0,96.0,95.0,2.0,34.0,26.0,7.0,1042.0,,6592.0,6592.0,443.0,443.0,8201.0,8128.0
hetalt,,3.0,1.0,1.0,35.0,2.0,,,10.0,,27.0,27.0,,,73.0,33.0
homalt,,617.0,96.0,97.0,,1.0,7.0,26.0,712.0,,4437.0,4437.0,250.0,250.0,5502.0,5428.0
ins,,1245.0,630.0,619.0,171.0,86.0,14.0,14.0,911.0,,6741.0,6741.0,112.0,112.0,8579.0,8817.0
ins__het,,311.0,54.0,59.0,1.0,20.0,4.0,1.0,243.0,,1360.0,1360.0,20.0,20.0,1682.0,1771.0
ins__hetalt,,3.0,1.0,1.0,21.0,1.0,,,4.0,,22.0,22.0,,,48.0,27.0
ins__homalt,,167.0,60.0,65.0,,1.0,1.0,4.0,104.0,,923.0,923.0,15.0,15.0,1103.0,1175.0
locations,1577.0,1577.0,193.0,193.0,37.0,37.0,33.0,33.0,1764.0,1764.0,11056.0,11056.0,693.0,693.0,15353.0,15353.0
snp,,405.0,40.0,41.0,2.0,,13.0,13.0,827.0,,6464.0,6464.0,562.0,562.0,7908.0,7485.0
snp__het,,250.0,17.0,17.0,,,7.0,6.0,466.0,,3806.0,3806.0,353.0,353.0,4649.0,4432.0
snp__hetalt,,,,,,,,,,,1.0,1.0,,,1.0,1.0
snp__homalt,,155.0,23.0,23.0,,,6.0,7.0,361.0,,2656.0,2656.0,209.0,209.0,3255.0,3050.0
unknown_gt,1577.0,,,,,,,,,1764.0,,,,,1577.0,1764.0
