,TRUTH.TOTAL,QUERY.TOTAL,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA
Alleles,18.0,23.0,0.6153846153846154,0.34782608695652173,0.0
Alleles.DEL,7.0,7.0,0.6666666666666666,0.5714285714285714,0.0
Alleles.INS,9.0,6.0,0.5,0.5,0.0
Alleles.SNP,2.0,10.0,1.0,0.1,0.0
Locations,29.0,29.0,0.6428571428571429,0.375,0.0
Locations.INDEL,27.0,19.0,0.6153846153846154,0.5714285714285714,0.0
Locations.INDEL.het,11.0,12.0,0.6,0.5,0.0
Locations.INDEL.hetalt,1.0,0.0,0.0,0.0,0.0
Locations.INDEL.homalt,3.0,1.0,0.5,1.0,0.0
Locations.INDEL.nocall,12.0,6.0,1.0,1.0,0.0
Locations.SNP,2.0,10.0,1.0,0.1,0.0
Locations.SNP.het,2.0,8.0,1.0,0.125,0.0
Locations.SNP.homalt,0.0,2.0,0.0,0.0,0.0
Locations.detailed.d,3.0,1.0,0.5,1.0,0.0
Locations.detailed.d.homalt,3.0,1.0,0.5,1.0,0.0
Locations.detailed.i,1.0,0.0,0.0,0.0,0.0
Locations.detailed.i.hetalt,1.0,0.0,0.0,0.0,0.0
Locations.detailed.nc,12.0,6.0,1.0,1.0,0.0
Locations.detailed.nc.nocall,12.0,6.0,1.0,1.0,0.0
Locations.detailed.rd,4.0,6.0,0.75,0.5,0.0
Locations.detailed.rd.het,4.0,6.0,0.75,0.5,0.0
Locations.detailed.ri,7.0,6.0,0.5,0.5,0.0
Locations.detailed.ri.het,7.0,6.0,0.5,0.5,0.0
Locations.detailed.rs,2.0,8.0,1.0,0.125,0.0
Locations.detailed.rs.het,2.0,8.0,1.0,0.125,0.0
Nucleotides,66.0,62.0,0.6923076923076923,0.43548387096774194,0.0
Nucleotides.DEL,16.0,24.0,0.8333333333333334,0.4166666666666667,0.0
Nucleotides.INS,48.0,28.0,0.6153846153846154,0.5714285714285714,0.0
Nucleotides.SNP,2.0,10.0,1.0,0.1,0.0
hap.py--128-NOTFOUND/home/pkrusche/workspace-is/haplotypes_release_build_el6/bin/hap.py -l chr21 /home/pkrusche/workspace-is/haplotypes/src/sh/../../example/integration/integrationtest_lhs.vcf.gz /home/pkrusche/workspace-is/haplotypes/src/sh/../../example/integration/integrationtest_rhs.vcf.gz -o /tmp/happy.tRK5vvSkL5 -P -V -B -X --force-interactive,0.0,0.0,0.0,0.0,0.0
