,ambi,fn,fp,total.query,total.truth,tp,type,unk,recall,recall_lower,recall_upper,recall2,precision,precision_lower,precision_upper,na,ambiguous,fp.region.size,fp.rate,sompyversion,sompycmd
0,0,674,36,1984,2274,1600,indels,348,0.703605980651,0.684586459283,0.722107586725,0.703605980651,0.977995110024,0.970018022975,0.984284646594,0.175403225806,0.0,32898860,1.09426284072,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
5,0,674,36,1984,2274,1600,records,348,0.703605980651,0.684586459283,0.722107586725,0.703605980651,0.977995110024,0.970018022975,0.984284646594,0.175403225806,0.0,32898860,1.09426284072,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,9,56,12,12,records.0.000000-0.100000,35,1.0,0.735351530603,1.0,1.0,0.571428571429,0.362058395174,0.762557026437,0.625,0.0,32898860,0.27356571018,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,9,540,426,426,records.0.100000-0.200000,105,1.0,0.99137804267,1.0,1.0,0.979310344828,0.96258218677,0.989714582869,0.194444444444,0.0,32898860,0.27356571018,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,13,982,837,837,records.0.200000-0.300000,132,1.0,0.995602434347,1.0,1.0,0.984705882353,0.974727413234,0.991400968683,0.134419551935,0.0,32898860,0.395150470259,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,4,194,140,140,records.0.300000-0.400000,50,1.0,0.973994970649,1.0,1.0,0.972222222222,0.935315761764,0.990552736826,0.257731958763,0.0,32898860,0.12158476008,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,1,168,147,147,records.0.400000-0.500000,20,1.0,0.97521782951,1.0,1.0,0.993243243243,0.968859085564,1.0,0.119047619048,0.0,32898860,0.03039619002,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,0,43,38,38,records.0.500000-0.600000,5,1.0,0.907487238584,1.0,1.0,1.0,0.907487238584,1.0,0.116279069767,0.0,32898860,0.0,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,9,56,12,12,indels.0.000000-0.100000,35,1.0,0.735351530603,1.0,1.0,0.571428571429,0.362058395174,0.762557026437,0.625,0.0,32898860,0.27356571018,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
0,0,0,9,540,426,426,indels.0.100000-0.200000,105,1.0,0.99137804267,1.0,1.0,0.979310344828,0.96258218677,0.989714582869,0.194444444444,0.0,32898860,0.27356571018,som.py-v0.3.10,/illumina/sync/software/groups/hap.py/latest/hap.py/hap.py-v0.3.10/bin/som.py /home/mgonzalez/workspace/git/hap.py/example/sompy/PG_admix_truth_grch38_indels.vcf.gz /home/mgonzalez/workspace/git/hap.py/example/sompy/strelka_grch38_admix_pass_indels.vcf.gz -o sompy.strelka_grch38_admix_pass_indels_af -P -f /home/mgonzalez/workspace/git/hap.py/example/sompy/FP_admix_grch38.bed.gz --feature-table hcc.strelka.indel --count-unk --verbose --bin-afs --af-binsize 0.1 --af-truth T_AF
